epoch,lr,early stop,freeze,decay rate,train time,best train loss,best train acc,best val loss,best val acc,test loss,test acc,test f1
10,1e-05,5,0,1,724.2805633544922,0.0648105693839513,0.9767505662872437,0.1339025247772658,0.954061018013806,0.12650504604151303,0.9631470333446156,"tensor(0.8800, device='cuda:0')"
10,1e-05,5,3,1,566.0245895385742,0.07500225035077397,0.9728750154421322,0.13107173599487876,0.9542974877801741,0.12363597748829334,0.9624549797087004,"tensor(0.7826, device='cuda:0')"
11,1e-05,5,6,1,495.3958270549774,0.08016236303748363,0.9709115685572378,0.12903564685944074,0.9550157796522105,0.12111661699741627,0.9631961743036906,"tensor(0.8421, device='cuda:0')"
12,1e-05,5,9,1,420.3757665157318,0.09758291910912015,0.9647542430274755,0.12820230995923837,0.9549479821453923,0.11719773718805024,0.9624590736446959,"tensor(1., device='cuda:0')"
30,1e-05,5,12,1,662.481048822403,0.14990592323594634,0.9461042774122175,0.1498452936825545,0.9472235526357379,0.14774743544332908,0.9539435133789524,"tensor(0.6122, device='cuda:0')"
